name,date,market_value
David von Ballmoos,2013-07-02,55000
David von Ballmoos,2014-02-14,55000
David von Ballmoos,2014-07-16,55000
David von Ballmoos,2014-09-12,55000
David von Ballmoos,2014-12-15,55000
David von Ballmoos,2015-06-18,55000
David von Ballmoos,2015-12-18,385000
David von Ballmoos,2016-07-16,550000
David von Ballmoos,2016-12-20,550000
David von Ballmoos,2017-07-12,550000
David von Ballmoos,2017-09-29,825000
David von Ballmoos,2018-01-08,1100000
David von Ballmoos,2018-04-24,1650000
David von Ballmoos,2018-07-12,1650000
David von Ballmoos,2019-01-21,2750000
David von Ballmoos,2019-04-15,2750000
David von Ballmoos,2019-06-04,2750000
David von Ballmoos,2019-10-07,3850000
Marco Wölfli,2004-10-04,660000
Marco Wölfli,2004-12-28,715000
Marco Wölfli,2005-08-22,825000
Marco Wölfli,2005-12-30,715000
Marco Wölfli,2006-01-29,880000
Marco Wölfli,2007-03-15,825000
Marco Wölfli,2007-10-04,880000
Marco Wölfli,2008-02-09,1100000
Marco Wölfli,2008-10-13,1320000
Marco Wölfli,2008-11-19,1650000
Marco Wölfli,2009-06-27,2200000
Marco Wölfli,2010-07-13,1980000
Marco Wölfli,2011-06-15,1650000
Marco Wölfli,2011-11-21,1320000
Marco Wölfli,2012-05-30,1320000
Marco Wölfli,2012-10-29,1100000
Marco Wölfli,2013-01-05,880000
Marco Wölfli,2013-06-17,880000
Marco Wölfli,2014-02-14,880000
Marco Wölfli,2014-09-12,660000
Marco Wölfli,2014-12-15,440000
Marco Wölfli,2015-06-18,440000
Marco Wölfli,2015-12-18,440000
Marco Wölfli,2016-04-20,275000
Marco Wölfli,2016-07-16,275000
Marco Wölfli,2016-12-20,275000
Marco Wölfli,2017-07-12,275000
Marco Wölfli,2018-01-08,275000
Marco Wölfli,2018-04-24,275000
Marco Wölfli,2018-07-12,385000
Marco Wölfli,2019-01-21,385000
Marco Wölfli,2019-04-15,385000
Marco Wölfli,2019-06-04,385000
Dario Marzino,2014-12-15,55000
Dario Marzino,2015-06-18,110000
Dario Marzino,2015-12-18,110000
Dario Marzino,2016-07-16,110000
Dario Marzino,2016-12-20,110000
Dario Marzino,2017-07-12,110000
Dario Marzino,2018-01-08,110000
Dario Marzino,2018-04-24,110000
Dario Marzino,2018-07-10,165000
Dario Marzino,2018-07-12,165000
Dario Marzino,2019-01-21,165000
Dario Marzino,2019-04-15,165000
Dario Marzino,2019-06-04,165000
Mohamed Camara,2018-07-12,1100000
Mohamed Camara,2019-01-21,1650000
Mohamed Camara,2019-04-15,1650000
Mohamed Camara,2019-06-04,3300000
Fabian Lustenberger,2006-07-22,55000
Fabian Lustenberger,2007-01-16,330000
Fabian Lustenberger,2007-05-27,660000
Fabian Lustenberger,2007-08-24,1650000
Fabian Lustenberger,2008-06-04,2200000
Fabian Lustenberger,2010-06-13,2750000
Fabian Lustenberger,2011-01-12,2200000
Fabian Lustenberger,2011-06-29,2750000
Fabian Lustenberger,2012-01-23,2750000
Fabian Lustenberger,2012-06-29,2200000
Fabian Lustenberger,2013-01-04,2200000
Fabian Lustenberger,2013-06-29,3080000
Fabian Lustenberger,2013-11-05,3520000
Fabian Lustenberger,2014-02-12,5500000
Fabian Lustenberger,2014-07-10,5500000
Fabian Lustenberger,2015-02-04,4400000
Fabian Lustenberger,2015-07-01,4400000
Fabian Lustenberger,2016-02-15,4950000
Fabian Lustenberger,2016-07-22,3850000
Fabian Lustenberger,2017-02-07,3850000
Fabian Lustenberger,2017-06-19,3300000
Fabian Lustenberger,2017-12-28,2750000
Fabian Lustenberger,2018-06-05,2750000
Fabian Lustenberger,2018-12-18,2750000
Fabian Lustenberger,2019-06-05,2750000
Frederik Sörensen,2010-11-16,330000
Frederik Sörensen,2011-01-20,1100000
Frederik Sörensen,2011-03-18,3300000
Frederik Sörensen,2011-06-21,3300000
Frederik Sörensen,2012-01-11,3300000
Frederik Sörensen,2012-06-07,2750000
Frederik Sörensen,2013-01-14,3850000
Frederik Sörensen,2013-06-19,4950000
Frederik Sörensen,2014-01-07,4950000
Frederik Sörensen,2014-08-06,3300000
Frederik Sörensen,2015-01-07,2640000
Frederik Sörensen,2015-07-01,2200000
Frederik Sörensen,2016-02-15,2750000
Frederik Sörensen,2016-07-22,3300000
Frederik Sörensen,2016-10-13,5500000
Frederik Sörensen,2017-02-07,6600000
Frederik Sörensen,2017-06-19,8250000
Frederik Sörensen,2017-12-28,7150000
Frederik Sörensen,2018-06-05,4950000
Frederik Sörensen,2018-10-16,2750000
Frederik Sörensen,2019-01-08,1925000
Frederik Sörensen,2019-03-13,1650000
Frederik Sörensen,2019-06-12,1650000
Cédric Zesiger,2015-12-18,330000
Cédric Zesiger,2016-07-16,550000
Cédric Zesiger,2016-12-20,825000
Cédric Zesiger,2017-07-12,550000
Cédric Zesiger,2017-07-29,825000
Cédric Zesiger,2018-01-08,1100000
Cédric Zesiger,2018-04-24,1100000
Cédric Zesiger,2018-07-12,1650000
Cédric Zesiger,2018-10-19,1100000
Cédric Zesiger,2019-01-21,1100000
Cédric Zesiger,2019-04-15,1100000
Cédric Zesiger,2019-06-04,825000
Nicolas Bürgy,2014-12-15,55000
Nicolas Bürgy,2015-12-18,275000
Nicolas Bürgy,2016-07-16,330000
Nicolas Bürgy,2016-12-20,330000
Nicolas Bürgy,2017-07-12,440000
Nicolas Bürgy,2018-01-08,440000
Nicolas Bürgy,2018-04-24,440000
Nicolas Bürgy,2018-07-12,770000
Nicolas Bürgy,2019-01-21,770000
Nicolas Bürgy,2019-06-04,550000
Ulisses Garcia,2014-02-14,55000
Ulisses Garcia,2014-09-12,55000
Ulisses Garcia,2015-06-18,165000
Ulisses Garcia,2015-10-16,1100000
Ulisses Garcia,2016-02-15,1100000
Ulisses Garcia,2016-07-22,1100000
Ulisses Garcia,2017-02-07,825000
Ulisses Garcia,2017-06-19,825000
Ulisses Garcia,2017-12-28,550000
Ulisses Garcia,2018-06-19,440000
Ulisses Garcia,2018-07-12,440000
Ulisses Garcia,2019-01-21,880000
Ulisses Garcia,2019-04-15,1925000
Ulisses Garcia,2019-06-04,1925000
Jordan Lotomba,2015-12-18,55000
Jordan Lotomba,2016-07-16,440000
Jordan Lotomba,2016-12-20,770000
Jordan Lotomba,2017-07-12,770000
Jordan Lotomba,2017-09-29,1650000
Jordan Lotomba,2018-01-08,1650000
Jordan Lotomba,2018-04-24,3300000
Jordan Lotomba,2018-07-12,4950000
Jordan Lotomba,2019-01-21,4950000
Jordan Lotomba,2019-04-15,4950000
Jordan Lotomba,2019-06-04,4950000
Saidy Janko,2015-02-24,275000
Saidy Janko,2015-11-30,550000
Saidy Janko,2016-09-01,550000
Saidy Janko,2017-02-27,550000
Saidy Janko,2017-10-12,1375000
Saidy Janko,2018-01-24,3300000
Saidy Janko,2018-06-04,3300000
Saidy Janko,2019-06-28,2200000
Christopher Martins Pereira,2014-10-14,110000
Christopher Martins Pereira,2017-10-12,440000
Christopher Martins Pereira,2018-05-16,440000
Christopher Martins Pereira,2019-01-08,880000
Christopher Martins Pereira,2019-06-03,1650000
Christopher Martins Pereira,2019-06-27,2200000
Michel Aebischer,2016-07-16,0
Michel Aebischer,2016-12-20,110000
Michel Aebischer,2017-04-14,440000
Michel Aebischer,2017-07-12,990000
Michel Aebischer,2018-01-08,990000
Michel Aebischer,2018-04-24,990000
Michel Aebischer,2018-07-12,2200000
Michel Aebischer,2018-10-19,2750000
Michel Aebischer,2019-01-21,3300000
Michel Aebischer,2019-04-15,4950000
Michel Aebischer,2019-06-04,4950000
Vincent Sierro,2014-09-12,27500
Vincent Sierro,2015-06-18,110000
Vincent Sierro,2015-06-18,55000
Vincent Sierro,2015-12-18,110000
Vincent Sierro,2016-04-20,440000
Vincent Sierro,2016-07-16,825000
Vincent Sierro,2016-12-20,1100000
Vincent Sierro,2017-06-19,1100000
Vincent Sierro,2017-12-28,1100000
Vincent Sierro,2018-06-05,1100000
Vincent Sierro,2019-01-21,2200000
Vincent Sierro,2019-04-15,2200000
Vincent Sierro,2019-06-04,3300000
Sandro Lauper,2015-09-29,110000
Sandro Lauper,2016-07-16,110000
Sandro Lauper,2016-10-19,330000
Sandro Lauper,2016-12-20,330000
Sandro Lauper,2017-04-14,550000
Sandro Lauper,2017-07-12,880000
Sandro Lauper,2018-01-08,880000
Sandro Lauper,2018-04-24,880000
Sandro Lauper,2018-07-12,1650000
Sandro Lauper,2019-01-21,3300000
Sandro Lauper,2019-04-15,3300000
Sandro Lauper,2019-06-04,3300000
Gianluca Gaudino,2014-08-21,550000
Gianluca Gaudino,2014-08-22,550000
Gianluca Gaudino,2014-11-03,1650000
Gianluca Gaudino,2015-02-04,2750000
Gianluca Gaudino,2015-07-01,2750000
Gianluca Gaudino,2016-07-16,2750000
Gianluca Gaudino,2016-12-20,2200000
Gianluca Gaudino,2017-04-14,1375000
Gianluca Gaudino,2017-12-29,990000
Gianluca Gaudino,2018-06-07,550000
Gianluca Gaudino,2019-01-21,550000
Gianluca Gaudino,2019-04-15,550000
Gianluca Gaudino,2019-06-04,550000
Esteban Petignat,2019-01-26,0
Esteban Petignat,2019-10-07,55000
Christian Fassnacht,2014-09-12,110000
Christian Fassnacht,2015-12-18,220000
Christian Fassnacht,2016-07-16,440000
Christian Fassnacht,2016-12-20,660000
Christian Fassnacht,2017-04-14,1100000
Christian Fassnacht,2017-07-12,1375000
Christian Fassnacht,2017-09-29,1925000
Christian Fassnacht,2018-01-08,2475000
Christian Fassnacht,2018-04-24,2750000
Christian Fassnacht,2018-07-12,4400000
Christian Fassnacht,2018-10-19,5500000
Christian Fassnacht,2019-01-21,5500000
Christian Fassnacht,2019-04-15,5500000
Christian Fassnacht,2019-06-04,5500000
Marvin Spielmann,2014-09-12,55000
Marvin Spielmann,2015-12-18,495000
Marvin Spielmann,2016-07-16,880000
Marvin Spielmann,2016-12-20,550000
Marvin Spielmann,2017-07-12,550000
Marvin Spielmann,2017-09-29,1650000
Marvin Spielmann,2018-01-08,1650000
Marvin Spielmann,2018-04-24,2200000
Marvin Spielmann,2018-07-12,3575000
Marvin Spielmann,2019-01-21,3850000
Marvin Spielmann,2019-04-15,5500000
Marvin Spielmann,2019-06-04,5500000
Miralem Sulejmani,2006-02-21,165000
Miralem Sulejmani,2006-02-22,495000
Miralem Sulejmani,2007-09-20,1100000
Miralem Sulejmani,2007-09-24,1650000
Miralem Sulejmani,2008-02-15,2750000
Miralem Sulejmani,2008-04-14,4400000
Miralem Sulejmani,2008-07-06,9350000
Miralem Sulejmani,2009-12-30,7700000
Miralem Sulejmani,2010-05-10,6600000
Miralem Sulejmani,2010-08-01,4950000
Miralem Sulejmani,2011-06-15,6050000
Miralem Sulejmani,2012-01-05,7700000
Miralem Sulejmani,2013-01-09,6050000
Miralem Sulejmani,2013-05-28,2750000
Miralem Sulejmani,2014-07-25,4400000
Miralem Sulejmani,2015-02-17,3630000
Miralem Sulejmani,2015-07-01,3300000
Miralem Sulejmani,2015-12-18,3300000
Miralem Sulejmani,2016-07-16,3300000
Miralem Sulejmani,2016-12-20,2750000
Miralem Sulejmani,2017-07-12,2750000
Miralem Sulejmani,2018-01-08,2475000
Miralem Sulejmani,2018-04-24,3300000
Miralem Sulejmani,2018-07-12,4950000
Miralem Sulejmani,2019-01-21,4950000
Miralem Sulejmani,2019-04-15,4950000
Miralem Sulejmani,2019-06-04,4950000
Felix Mambimbi,2018-07-10,247500
Felix Mambimbi,2019-01-26,247500
Felix Mambimbi,2019-06-17,495000
Nicolas Moumi Ngamaleu,2013-08-26,27500
Nicolas Moumi Ngamaleu,2016-08-04,220000
Nicolas Moumi Ngamaleu,2016-12-22,550000
Nicolas Moumi Ngamaleu,2017-06-02,880000
Nicolas Moumi Ngamaleu,2017-09-29,1650000
Nicolas Moumi Ngamaleu,2018-01-08,1650000
Nicolas Moumi Ngamaleu,2018-04-24,1650000
Nicolas Moumi Ngamaleu,2018-07-12,2750000
Nicolas Moumi Ngamaleu,2018-10-19,4125000
Nicolas Moumi Ngamaleu,2019-01-21,4125000
Nicolas Moumi Ngamaleu,2019-04-15,4125000
Nicolas Moumi Ngamaleu,2019-06-04,4125000
Nicolas Moumi Ngamaleu,2019-10-07,6600000
Roger Assalé,2015-06-23,275000
