name,note,date
Von Ballmoos,5,2019-11-08
Lotomba,3.5,2019-11-08
Sörensen,5.5,2019-11-08
Zesiger,5.5,2019-11-08
Garcia,4,2019-11-08
Lustenberger,4.5,2019-11-08
Aebischer,5,2019-11-08
Fassnacht,4.5,2019-11-08
Ngamaleu,4,2019-11-08
Nsame,4.5,2019-11-08
Assalé,4.5,2019-11-08
Spielmann,5,2019-11-08
Janko,3.5,2019-11-04
Sörensen,3,2019-11-04
Zesiger,3,2019-11-04
Lotomba,3.5,2019-11-04
Assalé,4,2019-11-04
Nsame,4.5,2019-11-04
Bürgy,3.5,2019-11-04
"Von
Ballmoos",6,2019-11-01
Garcia,5,2019-11-01
Sörensen,5.5,2019-11-01
Zesiger,5,2019-11-01
Janko,5,2019-11-01
Aebischer,5.5,2019-11-01
Gaudino,5.5 ,2019-11-01
Fassnacht,5,2019-11-01
Assalé,5,2019-11-01
Nsame,5,2019-11-01
Bürgy,5        ,2019-08-26
Garcia,5       ,2019-08-26
Sierro,5        ,2019-08-26
Nsame,5,2019-08-26
Assalé,5,2019-08-26
Von Ballmoos,4.5,2019-05-13
Mbabu,5.5,2019-05-13
Steve von Bergen,6,2019-05-13
Benito,5.5,2019-05-13
Garcia,5,2019-05-13
Fassnacht,5.5,2019-05-13
Sow,6,2019-05-13
Aebischer,5.5,2019-05-13
Schick,5.5,2019-05-13
Hoarau,5,2019-05-13
Nsame,5.5,2019-05-13
Ngamaleu,6,2019-05-13
Schick,5,2019-04-09
Von Bergen,5,2019-04-09
Ali Camara,5,2019-04-09
Benito,5.5,2019-04-09
Fassnacht,4.5,2019-04-09
Sow,5.5,2019-04-09
Lauper,5.5,2019-04-09
Ngamaleu,5.5,2019-04-09
Assalé,5,2019-04-09
Hoarau,5.5,2019-04-09
Von Ballmoos,5,2019-03-19
Mbabu  ,4.5,2019-03-19
Camara ,5,2019-03-19
Von Bergen,5,2019-03-19
Benito,4.5,2019-03-19
Fassnacht,4.5,2019-03-19
Sow ,4.5,2019-03-19
Aebischer,4,2019-03-19
Ngamaleu ,4.5,2019-03-19
Nsame ,5.5,2019-03-19
Assalé,5,2019-03-19
Von Ballmoos  ,5.5,2019-02-19
Schick ,4.5,2019-02-19
Wüthrich ,4.5,2019-02-19
Von Bergen,4.5,2019-02-19
Benito ,4.5,2019-02-19
Fassnacht,5.5,2019-02-19
Lauper ,4,2019-02-19
Ngamaleu ,5.5,2019-02-19
Assalé ,4,2019-02-19
Von Ballmoos,6,2019-02-04
Schick,5,2019-02-04
Von Bergen,4,2019-02-04
Lauper,4.5,2019-02-04
Benito,5,2019-02-04
Sow,4.5,2019-02-04
Aebischer,4.5,2019-02-04
Ngamaleu,4.5,2019-02-04
Fassnacht,4,2019-02-04
Nsamé,3.5,2019-02-04
Hoarau,3.5,2019-02-04
Wölfli,6,2018-12-13
Camara,5.5,2018-12-13
Lauper,6,2018-12-13
Benito,5.5,2018-12-13
Mbabu,5.5,2018-12-13
Sow,5,2018-12-13
Aebischer,5.5,2018-12-13
Garcia,5,2018-12-13
Fassnacht,5,2018-12-13
Ngamaleu,5.5,2018-12-13
Hoarau,6,2018-12-13
Seoane,6,2018-12-13
Seydoux  ,5,2018-12-10
Ali Camara  ,4.5,2018-12-10
Benito  ,4,2018-12-10
Sanogo  ,5.5,2018-12-10
Nsame,4,2018-12-10
Mbabu,5.5,2018-11-28
Camara,5,2018-11-28
Von Bergen,4.5,2018-11-28
Benito,5,2018-11-28
Lauper,5.5,2018-11-28
Aebischer,5,2018-11-28
Sow,6,2018-11-28
Sulejmani,4.5,2018-11-28
Assalé,4,2018-11-28
Nsame,5,2018-11-28
Garcia,5.5,2018-11-28
Von Ballmoos,4.5,2018-11-05
Mbabu,4,2018-11-05
Von Bergen,5,2018-11-05
Lauper,5,2018-11-05
Benito,4.5,2018-11-05
Fassnacht,4.5,2018-11-05
Sow,5,2018-11-05
Sanogo,4.5,2018-11-05
Sulejmani,4,2018-11-05
Assalé,4.5,2018-11-05
Hoarau,5,2018-11-05
Wölfli,5,2018-11-02
Schick,4.5,2018-11-02
Von Bergen,5,2018-11-02
Camara,4.5,2018-11-02
Garcia,4.5,2018-11-02
Sulejmani,5.5,2018-11-02
Bertone,4.5,2018-11-02
Aebischer,4.5,2018-11-02
Ngamaleu,5,2018-11-02
Nsame,4.5,2018-11-02
Hoarau,4.5,2018-11-02
Wölfli,5,2018-10-25
Mbabu,5,2018-10-25
Von Bergen,5.5,2018-10-25
Lauper,5,2018-10-25
Benito,5,2018-10-25
Sulejmani,5,2018-10-25
Sow,6,2018-10-25
Sanogo,5,2018-10-25
Fassnacht,4.5,2018-10-25
Assalé,5.5,2018-10-25
Hoarau,5.5,2018-10-25
Von Ballmoos,5.5,2018-09-30
Schick,4.5,2018-09-30
Lauper,5.5,2018-09-30
Camara,5,2018-09-30
Garcia,4.5,2018-09-30
Sulejmani,5.5,2018-09-30
Sanogo,5,2018-09-30
Bertone,5,2018-09-30
Ngamaleu,4.5,2018-09-30
Aebischer,5,2018-09-30
Nsame,5,2018-09-30
Von Ballmoos,5,2018-09-28
Schick,4.5,2018-09-28
Von Bergen,5,2018-09-28
Lauper,5,2018-09-28
Benito,4.5,2018-09-28
Fassnacht,5,2018-09-28
Bertone,5,2018-09-28
Aebischer,4.5,2018-09-28
Ngamaleu,5,2018-09-28
Assalé,4.5,2018-09-28
Nsame,4.5,2018-09-28
Wölfli,5,2018-08-20
Garcia,4.5,2018-08-20
Camara,4,2018-08-20
Benito,4,2018-08-20
Mbabu,4,2018-08-20
Sanogo,4,2018-08-20
Bertone,3,2018-08-20
Schick,4,2018-08-20
Aebischer,4,2018-08-20
Fassnacht,3,2018-08-20
Nsame,3.5,2018-08-20
Ngamaleu (61’ für,Fassnacht),2018-08-20
Hoarau (74’ für,Sanogo),2018-08-20
Sulejmani (78’ für,Schick),2018-08-20
Von Ballmoos,5,2018-08-06
Mbabu,6,2018-08-06
Wüthrich,5,2018-08-06
Von Bergen,5,2018-08-06
Benito,5,2018-08-06
Fassnacht,5.5,2018-08-06
Sanogo,5,2018-08-06
Sow,5,2018-08-06
Sulejmani,6,2018-08-06
Ngamaleu,5,2018-08-06
Hoarau,5,2018-08-06
Nsame,5.5,2018-08-06
Lauper,5,2018-08-06
Von Ballmoos,4.5,2018-07-23
Mbabu,5.5,2018-07-23
Wüthrich,4,2018-07-23
Von Bergen,5,2018-07-23
Benito,4.5,2018-07-23
Fassnacht,4,2018-07-23
Sow,5,2018-07-23
Sanogo,5,2018-07-23
Sulejmani,5.5,2018-07-23
Assalé,3.5,2018-07-23
Hoarau,4,2018-07-23
Wölfli,4.5,2018-04-19
Assalé,4,2018-04-19
Wölfli,5.5,2018-04-17
Mbabu,4.5,2018-04-17
Von Bergen,5,2018-04-17
Wüthrich,4.5,2018-04-17
Benito,5,2018-04-17
Fassnacht,4,2018-04-17
Bertone,4,2018-04-17
Sanogo,5.5,2018-04-17
Sulejmani,4.5,2018-04-17
Hoarau,4.5,2018-04-17
Assalé,4.5,2018-04-17
Von Bergen,5,2018-04-03
Wölfli,4.5,2018-03-05
Mbabu,4,2018-03-05
Von Bergen,4,2018-03-05
Nuhu,4,2018-03-05
Benito,5,2018-03-05
Fassnacht,4.5,2018-03-05
Sanogo,4,2018-03-05
Sow,5,2018-03-05
Sulejmani,5,2018-03-05
Assalé,5,2018-03-05
Nsame,5.5,2018-03-05
Ngamaleu,4.5,2018-03-05
Wölfli,5.5,2018-02-28
Mbabu,5.5,2018-02-28
Nuhu,5.5,2018-02-28
Von Bergen,6,2018-02-28
Benito,5.5,2018-02-28
Sow,6,2018-02-28
Sanogo,5.5,2018-02-28
Sulejmani,5.5,2018-02-28
Fassnacht,5.5,2018-02-28
Assalé,5.5,2018-02-28
Hoarau,5.5,2018-02-28
Wölfli,5,2018-02-21
