player_name,score,date,season
Marco Wölfli,3,16.07.2011,100
Marco Wölfli,1,23.07.2011,100
Marco Wölfli,2,31.07.2011,100
Marco Wölfli,2,07.08.2011,100
Marco Wölfli,4,14.08.2011,100
Marco Wölfli,6,21.08.2011,100
Marco Wölfli,2,28.08.2011,100
Marco Wölfli,7,11.09.2011,100
Marco Wölfli,4,21.09.2011,100
Marco Wölfli,4,24.09.2011,100
Marco Wölfli,7,02.10.2011,100
Marco Wölfli,0,23.10.2011,100
Marco Wölfli,2,27.10.2011,100
Marco Wölfli,0,30.10.2011,100
Marco Wölfli,3,06.11.2011,100
Marco Wölfli,3,19.11.2011,100
Marco Wölfli,4,04.12.2011,100
Marco Wölfli,3,10.12.2011,100
Marco Wölfli,0,12.02.2012,200
Marco Wölfli,0,16.02.2012,200
Marco Wölfli,0,25.02.2012,200
Marco Wölfli,0,04.03.2012,200
Marco Wölfli,0,11.03.2012,200
Marco Wölfli,0,17.03.2012,200
Marco Wölfli,0,25.03.2012,200
Marco Wölfli,0,01.04.2012,200
Marco Wölfli,0,09.04.2012,200
Marco Wölfli,0,14.04.2012,200
Marco Wölfli,0,22.04.2012,200
Marco Wölfli,0,28.04.2012,200
Marco Wölfli,0,01.05.2012,200
Marco Wölfli,0,05.05.2012,200
Marco Wölfli,0,13.05.2012,200
Marco Wölfli,0,20.05.2012,200
Marco Wölfli,0,23.05.2012,200
Marco Wölfli,5,15.07.2012,400
Marco Wölfli,1,22.07.2012,400
Marco Wölfli,6,29.07.2012,400
Marco Wölfli,0,05.08.2012,400
Marco Wölfli,5,12.08.2012,400
Marco Wölfli,0,19.08.2012,400
Marco Wölfli,4,26.08.2012,400
Marco Wölfli,3,02.09.2012,400
Marco Wölfli,1,23.09.2012,400
Marco Wölfli,4,27.09.2012,400
Marco Wölfli,4,30.09.2012,400
Marco Wölfli,6,07.10.2012,400
Marco Wölfli,3,21.10.2012,400
Marco Wölfli,7,28.11.2012,400
Marco Wölfli,4,03.11.2012,400
Marco Wölfli,7,18.11.2012,400
Marco Wölfli,3,25.11.2012,400
Marco Wölfli,4,02.12.2012,400
Marco Wölfli,2,09.02.2013,500
Marco Wölfli,3,16.02.2013,500
Marco Wölfli,-1,23.02.2013,500
Marco Wölfli,7,03.03.2013,500
Marco Wölfli,0,10.03.2013,500
Marco Wölfli,7,17.03.2013,500
Marco Wölfli,0,01.04.2013,500
Marco Wölfli,5,07.04.2013,500
Marco Wölfli,6,14.04.2013,500
Marco Wölfli,1,21.04.2013,500
Marco Wölfli,1,28.04.2013,500
Marco Wölfli,6,04.05.2013,500
Marco Wölfli,6,07.05.2013,500
Marco Wölfli,0,11.05.2013,500
Marco Wölfli,7,18.05.2013,500
Marco Wölfli,-1,26.05.2013,500
Marco Wölfli,1,29.05.2013,500
Marco Wölfli,3,01.06.2013,500
Marco Wölfli,0,13.07.2013,600
Marco Wölfli,0,20.07.2013,600
Marco Wölfli,2,28.07.2013,600
Marco Wölfli,3,04.08.2013,600
Marco Wölfli,7,10.08.2013,600
Marco Wölfli,7,25.08.2013,600
Marco Wölfli,4,01.09.2013,600
Marco Wölfli,2,21.09.2013,600
Marco Wölfli,2,24.09.2013,600
Marco Wölfli,6,29.09.2013,600
Marco Wölfli,3,05.10.2013,600
Marco Wölfli,1,20.10.2013,600
Marco Wölfli,1,26.10.2013,600
Marco Wölfli,7,03.11.2013,600
Marco Wölfli,5,23.11.2013,600
Marco Wölfli,3,01.12.2013,600
Marco Wölfli,5,08.12.2013,600
Marco Wölfli,7,15.12.2013,600
Marco Wölfli,0,02.02.2014,700
Marco Wölfli,0,08.02.2014,700
Marco Wölfli,0,16.02.2014,700
Marco Wölfli,0,23.02.2014,700
Marco Wölfli,0,26.02.2014,700
Marco Wölfli,0,09.03.2014,700
Marco Wölfli,0,15.03.2014,700
Marco Wölfli,0,23.03.2014,700
Marco Wölfli,0,29.03.2014,700
Marco Wölfli,0,06.04.2014,700
Marco Wölfli,0,13.04.2014,700
Marco Wölfli,0,17.04.2014,700
Marco Wölfli,0,27.04.2014,700
Marco Wölfli,0,04.05.2014,700
Marco Wölfli,0,07.05.2014,700
Marco Wölfli,0,11.05.2014,700
Marco Wölfli,0,15.05.2014,700
Marco Wölfli,0,18.05.2014,700
Marco Wölfli,0,19.07.2014,900
Marco Wölfli,0,27.07.2014,900
Marco Wölfli,0,03.08.2014,900
Marco Wölfli,0,10.08.2014,900
Marco Wölfli,0,13.08.2014,900
Marco Wölfli,0,17.08.2014,900
Marco Wölfli,0,31.08.2014,900
Marco Wölfli,0,14.09.2014,900
Marco Wölfli,0,24.09.2014,900
Marco Wölfli,0,28.09.2014,900
Marco Wölfli,0,05.10.2014,900
Marco Wölfli,0,18.10.2014,900
Marco Wölfli,0,03.12.2014,900
Marco Wölfli,0,02.11.2014,900
Marco Wölfli,0,09.11.2014,900
