player,twitter,instagram,facebook,dream_id,twitter_followers,insta_followers
Marco Wölfli,,woelfli_1,marcowoelfli,278,0,11303
David Von Ballmoos,,davidvonballmoos,,517,0,10468
Dario Marzino,,dariomarzino,dario.marzino,788,0,1765
Frederik Sörensen,,frederiksorensen4,,1379,0,21032
Mohamed Ali Camara,,camara_mhdali4,,1218,0,12964
Cedric Zesiger,ZesigerCedric33,zesiger5,cedric.zesiger.7,1013,149,4596
Nicolas Bürgy,,nbuergy,,770,0,2906
Ulisses Garcia,ulisses_garcia3,ulissesgarcia20,ulissesgarciaofficielle,694,1331,15784
Saidy Janko,,saidyjanko22,,1352,0,59362
Fabian Lustenberger,,lusti28,fabian.lustenberger,1353,0,24230
Jordan Lotomba,,j_lotomba,,990,0,4527
Esteban Petignat,,estebanpetignat6,esteban.petignat,1306,0,1389
Marvin Spielmann,,mspielmann33,,1051,0,5240
Vincent Sierro,,vincent_sierro,,791,0,8077
Miralem Sulejmani,miralems,-,miralem.sulejmani.1042,865,24684,0
Gianluca Gaudino,,gaudino.gianluca,GianlucaGaudino.Official,925,0,26576
Nicolas Moumi Ngamaleu,,nm.ngamaleu13,Moumi-Ngamaleu-996084077135247,1130,0,31255
Christian Fassnacht,,fassnacht16,,972,0,12928
Michel Aebischer,,michel.aebischer,,1017,0,5644
Sandro Lauper,,sml.30,,972,0,5313
Christopher Martins,chrismartins_25,chrismartins___,,896,4147,11325
Roger Assalé,,,,1042,0,866
Jean Pierre Nsame,nsa33ns,nsame18,JeanPierreNSame,1112,1034,6707
Felix Mambimbi,,felixmambimbi,,1300,0,4723
Guillaume Hoarau,hoarauguillaume,hoarauguillaume,guillaumehoarauofficiel,780,42990,289032
