player,twitter,instagram,facebook
Marco Wölfli,,woelfli_1,marcowoelfli
David Von Ballmoos,,davidvonballmoos,
Dario Marzino,,dariomarzino,dario.marzino
Frederik Sörensen,,frederiksorensen4,
Mohamed Ali Camara,,camara_mhdali4,
Cedric Zesiger,ZesigerCedric33,zesiger5,cedric.zesiger.7
Nicolas Bürgy,,nbuergy,
Ulisses Garcia,ulisses_garcia3,ulissesgarcia20,ulissesgarciaofficielle
Saidy Janko,,saidyjanko22,
Fabian Lustenberger,,lusti28,fabian.lustenberger
Jordan Lotomba,,j_lotomba,
Esteban Petignat,,estebanpetignat6,esteban.petignat
Marvin Spielmann,,mspielmann33,
Vincent Sierro,,vincent_sierro,
Miralem Sulejmani,miralems,-,miralem.sulejmani.1042
Gianluca Gaudino,,gaudino.gianluca,GianlucaGaudino.Official
Nicolas Moumi Ngamaleu,,nm.ngamaleu13,Moumi-Ngamaleu-996084077135247
Christian Fassnacht,,fassnacht16,
Michel Aebischer,,michel.aebischer,
Sandro Lauper,,sml.30,
Christopher Martins,chrismartins_25,chrismartins___,
Roger Assalé,,,
Jean Pierre Nsame,nsa33ns,nsame18,JeanPierreNSame
Felix Mambimbi,,felixmambimbi,
Guillaume Hoarau,hoarauguillaume,hoarauguillaume,guillaumehoarauofficiel
